UPS zone ranges,	zip from,	zip to
00500-00599,00500, 00599
01000-01099,01000, 01099
01100-01199,01100, 01199
01200-01299,01200, 01299
01300-01399,01300, 01399
01400-01499,01400, 01499
01500-01599,01500, 01599
01600-01699,01600, 01699
01700-01799,01700, 01799
01800-01899,01800, 01899
01800-01899,01800, 01899
01900-01999,01900, 01999
02000-02099,02000, 02099
02100-02199,02100, 02199
02200-02299,02200, 02299
02300-02399,02300, 02399
02400-02499,02400, 02499
02500-02599,02500, 02599
02600-02699,02600, 02699
02700-02799,02700, 02799
02800-02899,02800, 02899
02900-02999,02900, 02999
03000-03099,03000, 03099
03100-03199,03100, 03199
03200-03299,03200, 03299
03300-03399,03300, 03399
03400-03499,03400, 03499
03500-03599,03500, 03599
03600-03699,03600, 03699
03700-03799,03700, 03799
03800-03899,03800, 03899
03900-03999,03900, 03999
04000-04099,04000, 04099
04100-04199,04100, 04199
04200-04299,04200, 04299
04300-04399,04300, 04399
04400-04499,04400, 04499
04500-04599,04500, 04599
04600-04699,04600, 04699
04700-04799,04700, 04799
04800-04899,04800, 04899
04900-04999,04900, 04999
05000-05099,05000, 05099
05100-05199,05100, 05199
05200-05299,05200, 05299
05300-05399,05300, 05399
05400-05499,05400, 05499
05500-05599,05500, 05599
05600-05699,05600, 05699
05700-05799,05700, 05799
05800-05899,05800, 05899
05900-05999,05900, 05999
06000-06099,06000, 06099
06100-06199,06100, 06199
06200-06299,06200, 06299
06300-06399,06300, 06399
06400-06499,06400, 06499
06500-06599,06500, 06599
06600-06699,06600, 06699
06700-06799,06700, 06799
06800-06899,06800, 06899
06900-06999,06900, 06999
07000-07099,07000, 07099
07100-07199,07100, 07199
07200-07299,07200, 07299
07300-07399,07300, 07399
07400-07499,07400, 07499
07500-07599,07500, 07599
07600-07699,07600, 07699
07700-07799,07700, 07799
07800-07899,07800, 07899
07900-07999,07900, 07999
08000-08099,08000, 08099
08100-08199,08100, 08199
08200-08299,08200, 08299
08300-08399,08300, 08399
08400-08499,08400, 08499
08500-08599,08500, 08599
08600-08699,08600, 08699
08700-08799,08700, 08799
08800-08899,08800, 08899
08900-08999,08900, 08999
10000-10099,10000, 10099
10100-10199,10100, 10199
10200-10299,10200, 10299
10300-10399,10300, 10399
10400-10499,10400, 10499
10500-10599,10500, 10599
10600-10699,10600, 10699
10700-10799,10700, 10799
10800-10899,10800, 10899
10900-10999,10900, 10999
11000-11099,11000, 11099
11100-11199,11100, 11199
11200-11299,11200, 11299
11300-11399,11300, 11399
11400-11499,11400, 11499
11500-11599,11500, 11599
11600-11699,11600, 11699
11700-11799,11700, 11799
11800-11899,11800, 11899
11900-11999,11900, 11999
12000-12099,12000, 12099
12100-12199,12100, 12199
12200-12299,12200, 12299
12300-12399,12300, 12399
12400-12499,12400, 12499
12500-12599,12500, 12599
12600-12699,12600, 12699
12700-12799,12700, 12799
12800-12899,12800, 12899
12900-12999,12900, 12999
13000-13099,13000, 13099
13100-13199,13100, 13199
13200-13299,13200, 13299
13300-13399,13300, 13399
13400-13499,13400, 13499
13500-13599,13500, 13599
13600-13699,13600, 13699
13700-13799,13700, 13799
13800-13899,13800, 13899
13900-13999,13900, 13999
14000-14099,14000, 14099
14100-14199,14100, 14199
14200-14299,14200, 14299
14300-14399,14300, 14399
14400-14499,14400, 14499
14500-14599,14500, 14599
14600-14699,14600, 14699
14700-14799,14700, 14799
14800-14899,14800, 14899
14900-14999,14900, 14999
15000-15099,15000, 15099
15100-15199,15100, 15199
15200-15299,15200, 15299
15300-15399,15300, 15399
15400-15499,15400, 15499
15500-15599,15500, 15599
15600-15699,15600, 15699
15700-15799,15700, 15799
15800-15899,15800, 15899
15900-15999,15900, 15999
16000-16099,16000, 16099
16100-16199,16100, 16199
16200-16299,16200, 16299
16300-16399,16300, 16399
16400-16499,16400, 16499
16500-16599,16500, 16599
16600-16699,16600, 16699
16700-16799,16700, 16799
16800-16899,16800, 16899
16900-16999,16900, 16999
17000-17099,17000, 17099
17100-17199,17100, 17199
17200-17299,17200, 17299
17300-17399,17300, 17399
17400-17499,17400, 17499
17500-17599,17500, 17599
17600-17699,17600, 17699
17700-17799,17700, 17799
17800-17899,17800, 17899
17900-17999,17900, 17999
18000-18099,18000, 18099
18100-18199,18100, 18199
18200-18299,18200, 18299
18300-18399,18300, 18399
18400-18499,18400, 18499
18500-18599,18500, 18599
18600-18699,18600, 18699
18700-18799,18700, 18799
18800-18899,18800, 18899
18900-18999,18900, 18999
19000-19099,19000, 19099
19100-19199,19100, 19199
19200-19299,19200, 19299
19300-19399,19300, 19399
19400-19499,19400, 19499
19500-19599,19500, 19599
19600-19699,19600, 19699
19700-19799,19700, 19799
19800-19899,19800, 19899
19900-19999,19900, 19999
20000-20099,20000, 20099
20100-20199,20100, 20199
20200-20299,20200, 20299
20300-20399,20300, 20399
20400-20499,20400, 20499
20500-20599,20500, 20599
20600-20699,20600, 20699
20700-20799,20700, 20799
20800-20899,20800, 20899
20900-20999,20900, 20999
21000-21099,21000, 21099
21100-21199,21100, 21199
21200-21299,21200, 21299
21400-21499,21400, 21499
21500-21599,21500, 21599
21600-21699,21600, 21699
21700-21799,21700, 21799
21800-21899,21800, 21899
21900-21999,21900, 21999
22000-22099,22000, 22099
22100-22199,22100, 22199
22200-22299,22200, 22299
22300-22399,22300, 22399
22400-22499,22400, 22499
22500-22599,22500, 22599
22600-22699,22600, 22699
22700-22799,22700, 22799
22800-22899,22800, 22899
